id,title,description,instructor_id,category_id,status,visibility,price,is_free,thumbnail_url,created_at,updated_at
1,Professional Cybersecurity,Learn cybersecurity from scratch with hands-on projects and real-world examples.,1754,8,ACCEPTED,PUBLIC,0.0,False,/thumbnails/course_1.jpg,2025-09-12 17:25:43,2025-11-05 17:25:43
2,Research Methods Mastery,Comprehensive research methods course covering fundamental concepts and practical applications.,984,10,PENDING,PUBLIC,242.16,True,/thumbnails/course_2.jpg,2025-09-12 17:37:03,2025-10-31 17:37:03
3,Statistics Laboratory,In-depth statistics course with practical exercises and certification.,113,5,ACCEPTED,PUBLIC,197.34,True,/thumbnails/course_3.jpg,2025-09-12 17:32:32,2025-09-13 17:32:32
4,Creative Drawing Workshop,Master drawing with this complete guide designed for all skill levels.,1233,6,ACCEPTED,PUBLIC,0.0,False,/thumbnails/course_4.jpg,2025-09-12 17:24:08,2025-09-21 17:24:08
5,Professional Wellness,Professional wellness training with industry best practices and expert insights.,240,7,ACCEPTED,PUBLIC,0.0,True,/thumbnails/course_5.jpg,2025-09-12 17:37:44,2025-09-13 17:37:44
6,Wellness Essentials,In-depth wellness course with practical exercises and certification.,769,7,ACCEPTED,PUBLIC,0.0,True,/thumbnails/course_6.jpg,2025-09-12 17:32:43,2025-09-22 17:32:43
7,Drawing Masterclass,Master drawing with this complete guide designed for all skill levels.,2106,6,ACCEPTED,PRIVATE,264.99,False,/thumbnails/course_7.jpg,2025-09-12 17:38:40,2025-10-30 17:38:40
8,Test Prep Mastery,Comprehensive test prep course covering fundamental concepts and practical applications.,966,10,ACCEPTED,PUBLIC,127.2,True,/thumbnails/course_8.jpg,2025-09-12 17:23:10,2025-10-08 17:23:10
9,Chemistry Fundamentals,In-depth chemistry course with practical exercises and certification.,375,5,ACCEPTED,PUBLIC,0.0,False,/thumbnails/course_9.jpg,2025-09-12 17:29:37,2025-10-25 17:29:37
10,Mindfulness Workshop,Professional mindfulness training with industry best practices and expert insights.,1949,9,ACCEPTED,PUBLIC,13.62,False,/thumbnails/course_10.jpg,2025-09-12 17:30:11,2025-10-20 17:30:11
11,Learn Spanish - Beginner,Learn spanish from scratch with hands-on projects and real-world examples.,1060,4,ACCEPTED,PUBLIC,230.2,True,/thumbnails/course_11.jpg,2025-09-12 17:30:17,2025-09-30 17:30:17
12,Marketing Management,Comprehensive marketing course covering fundamental concepts and practical applications.,1803,3,DECLINED,PUBLIC,52.71,False,/thumbnails/course_12.jpg,2025-09-12 17:30:53,2025-10-27 17:30:53
13,IoT Fundamentals,In-depth iot course with practical exercises and certification.,1296,8,ACCEPTED,PUBLIC,0.0,True,/thumbnails/course_13.jpg,2025-09-12 17:38:33,2025-09-14 17:38:33
14,Complete Test Prep Course,Professional test prep training with industry best practices and expert insights.,266,10,ACCEPTED,PRIVATE,172.72,True,/thumbnails/course_14.jpg,2025-09-12 17:28:48,2025-10-27 17:28:48
15,Chinese for Travelers,Master chinese with this complete guide designed for all skill levels.,375,4,ACCEPTED,PUBLIC,289.85,False,/thumbnails/course_15.jpg,2025-09-12 17:31:43,2025-11-11 17:31:43
16,Professional Goal Setting,Master goal setting with this complete guide designed for all skill levels.,298,9,ACCEPTED,PUBLIC,31.76,True,/thumbnails/course_16.jpg,2025-09-12 17:32:05,2025-10-07 17:32:05
17,UI/UX for Professionals,Professional ui/ux training with industry best practices and expert insights.,1095,2,ACCEPTED,PRIVATE,66.47,True,/thumbnails/course_17.jpg,2025-09-12 17:29:12,2025-09-16 17:29:12
18,Professional Career,Comprehensive career course covering fundamental concepts and practical applications.,1967,9,ACCEPTED,PUBLIC,271.77,False,/thumbnails/course_18.jpg,2025-09-12 17:27:33,2025-10-28 17:27:33
19,Music Theory History,Learn music theory from scratch with hands-on projects and real-world examples.,343,6,ACCEPTED,PUBLIC,0.0,False,/thumbnails/course_19.jpg,2025-09-12 17:32:55,2025-10-20 17:32:55
20,Creative Typography Workshop,Comprehensive typography course covering fundamental concepts and practical applications.,611,2,ACCEPTED,PUBLIC,188.38,True,/thumbnails/course_20.jpg,2025-09-12 17:31:29,2025-10-18 17:31:29
21,Professional Mental Health,In-depth mental health course with practical exercises and certification.,1162,7,ACCEPTED,PUBLIC,188.16,False,/thumbnails/course_21.jpg,2025-09-12 17:27:34,2025-09-16 17:27:34
22,Advanced Mental Health,Master mental health with this complete guide designed for all skill levels.,972,7,ACCEPTED,PUBLIC,105.58,False,/thumbnails/course_22.jpg,2025-09-12 17:32:28,2025-10-11 17:32:28
23,Advanced Time Management,Comprehensive time management course covering fundamental concepts and practical applications.,1387,9,ACCEPTED,PUBLIC,23.02,True,/thumbnails/course_23.jpg,2025-09-12 17:38:42,2025-11-05 17:38:42
24,Sales Strategy,In-depth sales course with practical exercises and certification.,1887,3,ACCEPTED,PUBLIC,0.0,True,/thumbnails/course_24.jpg,2025-09-12 17:35:04,2025-11-01 17:35:04
25,Introduction to Machine Learning,In-depth machine learning course with practical exercises and certification.,681,1,PENDING,PUBLIC,0.0,True,/thumbnails/course_25.jpg,2025-09-12 17:30:32,2025-09-21 17:30:32
26,Introduction to Blockchain,Comprehensive blockchain course covering fundamental concepts and practical applications.,1251,8,ACCEPTED,PUBLIC,25.3,True,/thumbnails/course_26.jpg,2025-09-12 17:30:02,2025-09-14 17:30:02
